"Itemnumber","Collectionname","Groupnumber","Catintrono","Stylename","Roomname","Groupname","Piecename","Fabriccolor","Finishcolor","Assemblyrequired","Typeofpackaging","Pack","Dropship","Countryoforigin","Catalogdescription","Shippingweight","Cubes","Itemdesc","Cartonlength","Cartonwidth","Cartonheight","Product 1 Desc","Product 1 Length","Product 1 Width","Product 1 Height","Product 2 Desc","Product 2 Length","Product 2 Width","Product 2 Height","Product 3 Desc","Product 3 Length","Product 3 Width","Product 3 Height","Product 4 Desc","Product 4 Length","Product 4 Width","Product 4 Height","UPC",
"1000F",,"G1000F","2006-2","CON (CONTEMPORARY)","B (BEDROOM)","MATTRESSES","MATTRESS","White",,0,"BAG",1,0,"China","Complete support as you sleep we only use premium comfort foam in our mattresses to provide a balance of pressure relieving comfort and support for your body. Our air barrier layer gives support and keeps you cool as you sleep. The removable washable cover is dust mite and allergen resistant.",73,12.63,"CAPRI FULL MATTRESS",75,54,8,"CAPRI FULL MATTRESS",0,54,75,,,,,,,,,,,,,21032228934,
"1000KE",,"G1000KE","2006-2","CON (CONTEMPORARY)","B (BEDROOM)","MATTRESSES","MATTRESS","White",,0,"BAG",1,0,"China","Complete support as you sleep we only use premium comfort foam in our mattresses to provide a balance of pressure relieving comfort and support for your body. Our air barrier layer gives support and keeps you cool as you sleep. The removable washable cover is dust mite and allergen resistant.",114,17.11,"CAPRI KING MATTRESS",80,76,8,"CAPRI KING MATTRESS",0,76,80,,,,,,,,,,,,,21032228958,
"1000KW",,"G1000KW","2006-2","CON (CONTEMPORARY)","B (BEDROOM)","MATTRESSES","MATTRESS","White",,0,"BAG",1,0,"China","Complete support as you sleep we only use premium comfort foam in our mattresses to provide a balance of pressure relieving comfort and support for your body. Our air barrier layer gives support and keeps you cool as you sleep. The removable washable cover is dust mite and allergen resistant.",117,17.59,"CAPRI CALIFORNIA KING MATTRESS",84,72,8,"CAPRI CALIFORNIA KING MATTRESS",0,72,84,,,,,,,,,,,,,21032228965,
"1000Q",,"G1000Q","2006-2","CON (CONTEMPORARY)","B (BEDROOM)","MATTRESSES","MATTRESS","White",,0,"BAG",1,0,"China","Complete support as you sleep we only use premium comfort foam in our mattresses to provide a balance of pressure relieving comfort and support for your body. Our air barrier layer gives support and keeps you cool as you sleep. The removable washable cover is dust mite and allergen resistant.",93,12.96,"CAPRI QUEEN MATTRESS",80,60,8,"CAPRI QUEEN MATTRESS",0,60,80,,,,,,,,,,,,,21032228941,
"1000T",,"G1000T","2006-2","CON (CONTEMPORARY)","B (BEDROOM)","MATTRESSES","MATTRESS","White",,0,"BAG",1,0,"China","Complete support as you sleep we only use premium comfort foam in our mattresses to provide a balance of pressure relieving comfort and support for your body. Our air barrier layer gives support and keeps you cool as you sleep. The removable washable cover is dust mite and allergen resistant.",58,9.77,"CAPRI TWIN MATTRESS",75,39,8,"CAPRI TWIN MATTRESS",0,39,75,,,,,,,,,,,,,21032228910,
"1000TL",,"G1000TL",2007,"CON (CONTEMPORARY)","B (BEDROOM)","MATTRESSES","MATTRESS","White",,0,"BAG",1,0,"China","Complete support as you sleep we only use premium comfort foam in our mattresses to provide a balance of pressure relieving comfort and support for your body. Our air barrier layer gives support and keeps you cool as you sleep. The removable washable cover is dust mite and allergen resistant.",63,9.77,"CAPRI TWIN LONG MATTRESS",80,39,8,"CAPRI TWIN LONG MATTRESS",0,39,80,,,,,,,,,,,,,21032228927,
100128,,"G100128",2006,"TRN (TRANSITIONAL)","D (DINING)","COUNTER HEIGHT","BAR SET",,"Cherry",0,"BOX",1,0,"China","All in one bar unit with three different game table settings in cherry. Wine shelves and glass holders included. Matching bar stool with cushion seat available.",158.4,15.58,"CHERRY BAR UNIT",57,31.5,15,"CHERRY BAR UNIT",25.75,24.25,40.5,,,,,,,,,,,,,21032133979,
100129,,"G100128",2006,"TRN (TRANSITIONAL)","D (DINING)","COUNTER HEIGHT","BAR STOOL",,"Cherry",0,"BOX",1,0,"China","All in one bar unit with three different game table settings in cherry. Wine shelves and glass holders included. Matching bar stool with cushion seat available.",17.6,2.52,"CHERRY BAR STOOL",27.5,19.25,19.25,"CHERRY BAR STOOL",25.25,25.25,29,,,,,,,,,,,,,21032133986,
100131,"Saint Charles Collection","G100131","2005-2","TRA (TRADITIONAL)","D (DINING)","FORMAL DINING","TABLE",,"Brown",1,"BOX",1,0,"China","Create a focal point of beauty with the traditional styling of this dining table. The double pedestals and table edges have stunning, intricate detail that are sure to make a sophisticated statement in your dinning room.",,,,,,,"DINING TABLE",108,44,30.5,,,,,,,,,,,,,,
"100131B1","Saint Charles Collection","G100131","2005-2","TRA (TRADITIONAL)","D (DINING)","FORMAL DINING","TABLE",,"Brown",1,"BOX",1,0,"China","Create a focal point of beauty with the traditional styling of this dining table. The double pedestals and table edges have stunning, intricate detail that are sure to make a sophisticated statement in your dinning room.",185.9,19.33,"B1 = DINING TABLE TOP, BOX 1 OF 2",87,48,8,,,,,,,,,,,,,,,,,21032128234,
"100131B2","Saint Charles Collection","G100131","2005-2","TRA (TRADITIONAL)","D (DINING)","FORMAL DINING","TABLE",,"Brown",1,"BOX",1,0,"China","Create a focal point of beauty with the traditional styling of this dining table. The double pedestals and table edges have stunning, intricate detail that are sure to make a sophisticated statement in your dinning room.",95.48,9.31,"B2 = DINING TABLE BASE, BOX 2 OF 2",25,25,25.75,,,,,,,,,,,,,,,,,21032128241,
100132,"Saint Charles Collection","G100131","2005-2","TRA (TRADITIONAL)","D (DINING)","FORMAL DINING","SIDE CHAIR","Green","Brown",0,"BOX",2,0,"China","Create a focal point of beauty with the traditional styling of this dining table. The double pedestals and table edges have stunning, intricate detail that are sure to make a sophisticated statement in your dinning room.",74.8,11.63,"SIDE CHAIR",49.25,23,17.75,"SIDE CHAIR",28.75,24,45.25,,,,,,,,,,,,,21032128258,
100133,"Saint Charles Collection","G100131","2005-2","TRA (TRADITIONAL)","D (DINING)","FORMAL DINING","ARM CHAIR","Green","Brown",0,"BOX",2,0,"China","Create a focal point of beauty with the traditional styling of this dining table. The double pedestals and table edges have stunning, intricate detail that are sure to make a sophisticated statement in your dinning room.",79.2,13.27,"ARM CHAIR",49.25,23,20.25,"ARM CHAIR",28.75,26.5,45.25,,,,,,,,,,,,,21032128265,
100134,"Saint Charles Collection","G100131","2005-2","TRA (TRADITIONAL)","D (DINING)","FORMAL DINING","CHINA",,"Brown",1,"BOX",1,0,"China","Create a focal point of beauty with the traditional styling of this dining table. The double pedestals and table edges have stunning, intricate detail that are sure to make a sophisticated statement in your dinning room.",,,,,,,"HUTCH & BUFFET (CHINA)",64,20,86.25,,,,,,,,,,,,,,
"100134B","Saint Charles Collection","G100131","2005-2","TRA (TRADITIONAL)","D (DINING)","FORMAL DINING","BUFFET",,"Brown",0,"BOX",1,0,"China","Create a focal point of beauty with the traditional styling of this dining table. The double pedestals and table edges have stunning, intricate detail that are sure to make a sophisticated statement in your dinning room.",171.6,30.3,"BUFFET",0.01,0.01,0.01,"BUFFET",62.75,20,33.25,,,,,,,,,,,,,21032128289,
"100134H","Saint Charles Collection","G100131","2005-2","TRA (TRADITIONAL)","D (DINING)","FORMAL DINING","HUTCH",,"Brown",0,"BOX",1,0,"China","Create a focal point of beauty with the traditional styling of this dining table. The double pedestals and table edges have stunning, intricate detail that are sure to make a sophisticated statement in your dinning room.",193.6,46.6,"HUTCH",0.01,0.01,0.01,"HUTCH",64,19.5,53,,,,,,,,,,,,,21032128272,
100135,,"G100135","2010-2","CON (CONTEMPORARY)","D (DINING)","COUNTER HEIGHT","BAR SET",,"Silver",0,"BOX",1,0,"Taiwan","Be the life of the party with this contemporary styled bar, add multiple pieces together to increase the size. Made of durable metal frame, tempered frosted glass top and tinted plastic front.",46.86,4.92,"Bar Unit",43,24,8.25,"BAR UNIT",33,19.5,41.5,,,,,,,,,,,,,21032211943,
100159,,"G100159",2006,"TRA (TRADITIONAL)","D (DINING)","COUNTER HEIGHT","BAR STOOL","Brown","Black",0,"BOX",1,0,"China","29"" H Metal bar stool also available in 24""H",38.94,9.6,"29"" METAL BAR STOOL",26,23,27.75,"29"" METAL BAR STOOL",24.5,22,40.5,,,,,,,,,,,,,21032134099,
100160,,"G100160",2006,"TRA (TRADITIONAL)","D (DINING)","COUNTER HEIGHT","BAR STOOL","Brown","Black",0,"BOX",1,0,"China","29"" H metal bar stool also available in 24""H",35.2,7.83,"24"" METAL BAR STOOL",26.75,23,22,"24"" METAL BAR STOOL",24.5,22,40.5,,,,,,,,,,,,,21032134105,
100163,,"G100163","2010-2","TRA (TRADITIONAL)","D (DINING)","COUNTER HEIGHT","BAR SET",,"Brown",0,"BOX",1,0,"China","Hide away wine cabinet features a top pull-down shelf. Middle of the cabinet revolves and can hold up to 6 bottles.",170.5,23.44,"Wine Bar",31.25,23.25,55.75,"WINE BAR",19.75,28,54.25,,,,,,,,,,,,,21032210236,
100164,,"G100164",2012,"TRN (TRANSITIONAL)","A (ACCESSORIES)","ACCENTS","WINE RACK",,"Cappuccino",1,"BOX",1,0,"China","Entertain in style with this practical and stylish wine rack. Able to store up to 16 bottles of wine, the top also lifts off to become a serving tray. Features a drawer for additional storage.",29.7,3.11,"WINE RACK",57,14.5,6.5,"WINE RACK",24,12.5,38,,,,,,,,,,,,,21032242633,
100165,,"G100165",2012,"CON (CONTEMPORARY)","D (DINING)","COUNTER HEIGHT","BAR TABLE",,"Black",1,"BOX",1,0,"China","Entertain in style with the sleek contemporary bar unit featuring 2 glass storage shelves and a wine glass holder. The unit is finished in a gloss black and topped off with chrome accents.",88.66,4.7,"BAR TABLE",51,21.25,7.5,"BAR TABLE",47.25,15.75,43.5,,,,,,,,,,,,,21032242640,
100166,,"G100166",2012,"CON (CONTEMPORARY)","D (DINING)","COUNTER HEIGHT","BAR TABLE",,"Cappuccino",1,"BOX",1,0,"China","Entertain in style with the sleek contemporary bar unit featuring 2 glass storage shelves and a wine glass holder. The unit is finished in a gloss cappuccino and topped off with chrome accents.",88.66,4.7,"BAR TABLE",51,1.25,7.5,"BAR TABLE",47.25,15.75,43.5,,,,,,,,,,,,,21032242657,
100167,,"G100167",2012,"CON (CONTEMPORARY)","D (DINING)","COUNTER HEIGHT","BAR TABLE",,"White",1,"BOX",1,0,"China","Entertain in style with the sleek contemporary bar unit featuring 2 glass storage shelves and a wine glass holder. The unit is finished in a gloss white and topped off with chrome accents.",88.66,4.7,"BAR TABLE",51,21.25,7.5,"BAR TABLE",47.25,15.75,43.5,,,,,,,,,,,,,21032242664,
100171,,"G100171",2006,"CAS (CASUAL)","D (DINING)","DINETTES","GAME TABLE","Black","Oak",1,"BOX",1,0,"China","Three-in-one oak bumper pool table with 42"" of playing surface. Table can be used as a dining table, poker table or bumper pool. Pool sticks and balls included. Solid oak upholstered arm chairs include casters.",,,,,,,"CONVERTIBLE DINING TABLE (BUMPER POOL & POKER)",48,48,30,,,,,,,,,,,,,,
"100171B1",,"G100171",2006,"CAS (CASUAL)","D (DINING)","DINETTES","GAME TABLE","Black","Oak",1,"BOX",1,0,"China","Three-in-one oak bumper pool table with 42"" of playing surface. Table can be used as a dining table, poker table or bumper pool. Pool sticks and balls included. Solid oak upholstered arm chairs include casters.",133.1,13.54,"Table Top box 1 of 2",51,51,9,,,,,,,,,,,,,,,,,21032134112,
"100171B2",,"G100171",2006,"CAS (CASUAL)","D (DINING)","DINETTES","GAME TABLE","Black","Oak",1,"BOX",1,0,"China","Three-in-one oak bumper pool table with 42"" of playing surface. Table can be used as a dining table, poker table or bumper pool. Pool sticks and balls included. Solid oak upholstered arm chairs include casters.",16.5,1.85,"Tabel Base box 2 of 2",30.5,10.5,10,,,,,,,,,,,,,,,,,21032134129,
100172,,"G100171",2006,"CAS (CASUAL)","D (DINING)","DINETTES","ARM CHAIR","Beige","Oak",0,"BOX",1,0,"China","Three-in-one oak bumper pool table with 42"" of playing surface. Table can be used as a dining table, poker table or bumper pool. Pool sticks and balls included. Solid oak upholstered arm chairs include casters.",42.9,6.18,"Game Chair",30.5,23.75,14.75,"GAME CHAIR",23,27,38,,,,,,,,,,,,,21032134136,
100173,,"G100173",2011,"TRA (TRADITIONAL)","D (DINING)","COUNTER HEIGHT","BAR SET",,"Brown",1,"BOX",1,0,"China","This bar features 3 drawers and a wine rack on each end, a set of cabinets, a large preparation area, and a beautiful marble counter top. Matching bar stool features faux wicker design with a leather seat.",,,,,,,"BAR UNIT",60,20,42,,,,,,,,,,,,,,
"100173B1",,"G100173","2010-2","TRA (TRADITIONAL)","D (DINING)","COUNTER HEIGHT","BAR SET",,"Brown",1,"BOX",1,0,"China","This bar features 3 drawers and a wine rack on each end, a set of cabinets, a large preparation area, and a beautiful marble counter top. Matching bar stool features faux wicker design with a leather seat.",56.1,2.89,"Bar Unit Top",63.75,16.5,4.75,,,,,,,,,,,,,,,,,21032210243,
"100173B2",,"G100173","2010-2","TRA (TRADITIONAL)","D (DINING)","COUNTER HEIGHT","BAR SET",,"Brown",1,"BOX",1,0,"China","This bar features 3 drawers and a wine rack on each end, a set of cabinets, a large preparation area, and a beautiful marble counter top. Matching bar stool features faux wicker design with a leather seat.",220,37.88,"Bar Unit Base",61.25,25,42.75,,,,,,,,,,,,,,,,,21032210250,
100174,,"G100174","2010-2","TRA (TRADITIONAL)","D (DINING)","COUNTER HEIGHT","BAR STOOL","Dark Brown","Brown",0,"BOX",1,0,"China","This bar features 3 drawers and a wine rack on each end, a set of cabinets, a large preparation area, and a beautiful marble counter top. Matching bar stool features faux wicker design with a leather seat.",46.2,15.6,"Bar Stool",27.75,27.75,35,"BARSTOOL",25,24,46,,,,,,,,,,,,,21032210267,
100175,,"G100175","2010-2","CON (CONTEMPORARY)","D (DINING)","COUNTER HEIGHT","BAR SET",,"Black",1,"BOX",1,0,"China","A contemporary bar with a serving area in the shape of half an octagon. Bar features wine bottle holders and shelving with a hanging stemware rack above. Matching bar stool also available.",,,,,,,"BAR UNIT",60,29,42,,,,,,,,,,,,,21032210274,
"100175B1",,"G100175","2010-2","CON (CONTEMPORARY)","D (DINING)","COUNTER HEIGHT","BAR SET",,"Black",1,"BOX",1,0,"China","A contemporary bar with a serving area in the shape of half an octagon. Bar features wine bottle holders and shelving with a hanging stemware rack above. Matching bar stool also available.",33.88,4.17,"Bar Unit Top",63.88,32.25,3.5,,,,,,,,,,,,,,,,,21032213312,
"100175B2",,"G100175","2010-2","CON (CONTEMPORARY)","D (DINING)","COUNTER HEIGHT","BAR SET",,"Black",1,"BOX",1,0,"China","A contemporary bar with a serving area in the shape of half an octagon. Bar features wine bottle holders and shelving with a hanging stemware rack above. Matching bar stool also available.",247.28,39.21,"Bar Unit Base",54.75,28.13,44,,,,,,,,,,,,,,,,,21032213329,
100181,"Monaco Collection","G100181","2005-2","TRN (TRANSITIONAL)","D (DINING)","FORMAL DINING","TABLE",,"Cappuccino",1,"BOX",1,0,"China","This lovely dining table will give your dining room a sophisticated style. The piece has a simple mission inspired style that will blend well with today’s contemporary home, featuring a smooth rectangular table top that easily extends with a 12” leaf, from 72 inches long to 84 inches long; making it a great choice for those who love to entertain.",,,,,,,"DINING TABLE",84,42,30,,,,,,,,,,,,,,
"100181B1","Monaco Collection","G100181","2005-2","TRN (TRANSITIONAL)","D (DINING)","FORMAL DINING","TABLE",,"Cappuccino",1,"BOX",1,0,"China","This lovely dining table will give your dining room a sophisticated style. The piece has a simple mission inspired style that will blend well with today’s contemporary home, featuring a smooth rectangular table top that easily extends with a 12” leaf, from 72 inches long to 84 inches long; making it a great choice for those who love to entertain.",134.64,12.84,"B1 = DINING TABLE TOP, BOX 1 OF 2",75,45.5,6.5,,,,,,,,,,,,,,,,,21032128357,
"100181B2","Monaco Collection","G100181","2005-2","TRN (TRANSITIONAL)","D (DINING)","FORMAL DINING","TABLE",,"Cappuccino",1,"BOX",1,0,"China","This lovely dining table will give your dining room a sophisticated style. The piece has a simple mission inspired style that will blend well with today’s contemporary home, featuring a smooth rectangular table top that easily extends with a 12” leaf, from 72 inches long to 84 inches long; making it a great choice for those who love to entertain.",36.45,5.4,"B2 = DINING TABLE BASE, BOX 2 OF 2",32,31.5,9.25,,,,,,,,,,,,,,,,,21032128364,
100182,"Monaco Collection","G100181","2005-2","TRN (TRANSITIONAL)","D (DINING)","FORMAL DINING","SIDE CHAIR","Beige","Cappuccino",0,"BOX",2,0,"China","This lovely dining table will give your dining room a sophisticated style. The piece has a simple mission inspired style that will blend well with today’s contemporary home, featuring a smooth rectangular table top that easily extends with a 12” leaf, from 72 inches long to 84 inches long; making it a great choice for those who love to entertain.",43.56,6.23,"SIDE CHAIR",42.5,20.25,12.5,"SIDE CHAIR",24,21,40.75,,,,,,,,,,,,,21032128371,
100183,"Monaco Collection","G100181","2005-2","TRN (TRANSITIONAL)","D (DINING)","FORMAL DINING","ARM CHAIR","Beige","Cappuccino",0,"BOX",2,0,"China","This lovely dining table will give your dining room a sophisticated style. The piece has a simple mission inspired style that will blend well with today’s contemporary home, featuring a smooth rectangular table top that easily extends with a 12” leaf, from 72 inches long to 84 inches long; making it a great choice for those who love to entertain.",46.93,6.23,"ARM CHAIR",42.5,20.25,12.5,"ARM CHAIR",24,23,40.75,,,,,,,,,,,,,21032128388,
100184,"Monaco Collection","G100181","2005-2","TRN (TRANSITIONAL)","D (DINING)","FORMAL DINING","CHINA",,"Cappuccino",1,"BOX",1,0,"China","This lovely dining table will give your dining room a sophisticated style. The piece has a simple mission inspired style that will blend well with today’s contemporary home, featuring a smooth rectangular table top that easily extends with a 12” leaf, from 72 inches long to 84 inches long; making it a great choice for those who love to entertain.",,,,,,,"HUTCH & BUFFET (CHINA)",64,18,83.5,,,,,,,,,,,,,,
"100184B1","Monaco Collection","G100181","2005-2","TRN (TRANSITIONAL)","D (DINING)","FORMAL DINING","HUTCH",,"Cappuccino",1,"BOX",1,0,"China","This lovely dining table will give your dining room a sophisticated style. The piece has a simple mission inspired style that will blend well with today’s contemporary home, featuring a smooth rectangular table top that easily extends with a 12” leaf, from 72 inches long to 84 inches long; making it a great choice for those who love to entertain.",222.2,42.21,"B1 = HUTCH, BOX 1 OF 2",66.5,20.5,53.5,,,,,,,,,,,,,,,,,21032128395,
"100184B2","Monaco Collection","G100181","2005-2","TRN (TRANSITIONAL)","D (DINING)","FORMAL DINING","BUFFET",,"Cappuccino",0,"BOX",1,0,"China","This lovely dining table will give your dining room a sophisticated style. The piece has a simple mission inspired style that will blend well with today’s contemporary home, featuring a smooth rectangular table top that easily extends with a 12” leaf, from 72 inches long to 84 inches long; making it a great choice for those who love to entertain.",153.12,28.55,"B2 = BUFFET, BOX 2 OF 2",64.5,20.75,37,,,,,,,,,,,,,,,,,21032128401,
100199,,"G100199","2011-2","CAS (CASUAL)","A (ACCESSORIES)","ACCENTS","BAR STOOL",,"Black",1,"BOX",1,0,"China","This stool features durable metal frame and legs finished in black. A cherry finished wood veneer seat sits on top adjusts from 24 inches to 30 inches high.",15.73,1.84,"Adjustable Bar Stool",24.25,21,6.25,"ADJUSTABLE BAR STOOL",20.5,20.5,24,,,,,,,,,,,,,21032231231,
100201,,"G100201",2006,"TRA (TRADITIONAL)","D (DINING)","DINETTES","GAME TABLE",,"Oak",1,"BOX",1,0,"China","This three-in-one bumper pool table includes 42” of playing surface. The table can be used as a dining table, poker table or bumper pool. Pool sticks and balls included. Solid oak upholstered arm chairs include casters.",,,,,,,"OAK GAME TABLE",47.5,47.5,30,,,,,,,,,,,,,,
"100201B1",,"G100201",2006,"TRA (TRADITIONAL)","D (DINING)","DINETTES","GAME TABLE",,"Oak",0,"BOX",1,0,"China","This three-in-one bumper pool table includes 42” of playing surface. The table can be used as a dining table, poker table or bumper pool. Pool sticks and balls included. Solid oak upholstered arm chairs include casters.",116.6,9.04,"OAK GAME TABLE TOP",50.5,50,6.25,,,,,,,,,,,,,,,,,21032134174,
"100201B2",,"G100201",2006,"TRA (TRADITIONAL)","D (DINING)","DINETTES","GAME TABLE",,"Oak",0,"BOX",1,0,"China","This three-in-one bumper pool table includes 42” of playing surface. The table can be used as a dining table, poker table or bumper pool. Pool sticks and balls included. Solid oak upholstered arm chairs include casters.",29.7,2.32,"OAK GAME TABLE BASE",27.75,15.25,9.5,,,,,,,,,,,,,,,,,21032134181,
100202,,"G100201",2006,"TRA (TRADITIONAL)","D (DINING)","DINETTES","ARM CHAIR",,"Oak",0,"BOX",1,0,"China","This three-in-one bumper pool table includes 42” of playing surface. The table can be used as a dining table, poker table or bumper pool. Pool sticks and balls included. Solid oak upholstered arm chairs include casters.",38.5,4.93,"OAK GAME CHAIR",25.75,25.5,13,"OAK GAME CHAIR",23,25,33,,,,,,,,,,,,,21032134198,
100207,,"G100207","2011-2","TRA (TRADITIONAL)","D (DINING)","COUNTER HEIGHT","TABLE",,"Cappuccino",1,"BOX",1,0,"Malaysia","Introducing a fresh dining group to add to our existin Mix and Match series. This group is finished in a rich cappuccino and is constructed of solid hardwoods. The eye catching table top is divided into four sections with our black tempered glass inlays. Matching bar stools provide supreme comfort with padded seat cushions.",99,9.12,"Counter Height Table",56.69,56.5,4.92,"COUNTER HEIGHT TABLE",54,54,36,,,,,,,,,,,,,21032227920,
100208,,"G100208","2006-2","CAS (CASUAL)","D (DINING)","COUNTER HEIGHT","TABLE",,"Cappuccino",0,"BOX",1,0,"Malaysia","This entire featured collection is finished in rich cappuccino. Constructed of solid hardwoods and wood veneer table tops. All chairs shown are of the same finish allowing you to choose the style.",74.96,6.06,"OVAL COUNTER HEIGHT TABLE",61.42,43.31,3.94,"OVAL COUNTER HEIGHT TABLE",42,60,36,,,,,,,,,,,,,21032147747,
100209,,"G100208","2011-2","TRA (TRADITIONAL)","D (DINING)","COUNTER HEIGHT","BAR STOOL","Mocha","Cappuccino",1,"BOX",2,0,"Malaysia","Introducing a fresh dining group to add to our existin Mix and Match series. This group is finished in a rich cappuccino and is constructed of solid hardwoods. The eye catching table top is divided into four sections with our black tempered glass inlays. Matching bar stools provide supreme comfort with padded seat cushions.",33.51,3.28,"WHEAT BACK BAR STOOL",41.93,18.11,7.48,"WHEAT BACK BAR STOOL",20,17,41,,,,,,,,,,,,,21032147754,
100210,,"G100220","2006-2","CON (CONTEMPORARY)","D (DINING)","COUNTER HEIGHT","BAR STOOL","Mocha","Cappuccino",0,"BOX",2,0,"Malaysia","The 54” sq. counter table features a built in 24” frosted glass Lazy Susan. This entire featured collection is finished in rich cappuccino. Your choice of 3 different style 24”H barstools.",35.71,3.75,"BAR STOOL",48.03,18.11,7.48,"BAR STOOL",20,17,47,,,,,,,,,,,,,21032147761,
100218,,"G100218","2006-2","CAS (CASUAL)","D (DINING)","COUNTER HEIGHT","BAR SET",,"Cappuccino",0,"BOX",1,0,"Malaysia","The bar collection is finished in deep cappuccino with solid hardwoods and veneers.",147.71,25.88,"BAR UNIT",49.02,39.96,22.83,"BAR UNIT",47,25,42,,,,,,,,,,,,,21032147778,
100219,,"G200219","2011-2","TRA (TRADITIONAL)","D (DINING)","COUNTER HEIGHT","BAR STOOL","Mocha","Cappuccino",1,"BOX",2,0,"Malaysia","Introducing a fresh dining group to add to our existin Mix and Match series. This group is finished in a rich cappuccino and is constructed of solid hardwoods. The eye catching table top is divided into four sections with our black tempered glass inlays. Matching bar stools provide supreme comfort with padded seat cushions.",32.63,3.29,"Barstool",41.93,18.11,7.48,"BAR STOOL",20,17,41,,,,,,,,,,,,,21032147785,
100220,,"G100220","2006-2","CAS (CASUAL)","D (DINING)","COUNTER HEIGHT","BAR STOOL","Mocha","Cappuccino",0,"BOX",2,0,"Malaysia","The 54” sq. counter table features a built in 24” frosted glass Lazy Susan. This entire featured collection is finished in rich cappuccino. Your choice of 3 different style 24”H barstools.",35.71,3.76,"CUSHION BACK BAR STOOL",48.03,18.11,7.48,"CUSHION BACK BAR STOOL",20,17,41,,,,,,,,,,,,,21032147792,
100221,,"G100221","2005-2","COU (COUNTRY)","D (DINING)","DINETTES","TABLE",,"Natural",0,"BOX",1,0,"Malaysia","All natural finish dining table with terracotta tile top. Matching windsor chair with spindle back and legs.",66.15,4.8,"Dining Table",5.31,31.5,49.61,"DINING TABLE",47.25,29.25,39.75,,,,,,,,,,,,,21032131869,
100224,,"G100224","2009-2","TRN (TRANSITIONAL)","A (ACCESSORIES)","ACCENTS","BENCH","Beige","Brown",0,"BOX",1,0,"China","This stately upholstered bench comes with rolled arms and a comfortable cushioned seat",50.6,9.71,"STATELY UPHOLSTERED BENCH",49.25,22,15.5,"STATELY UPHOLSTERED BENCH",48,28.75,26.5,,,,,,,,,,,,,21032192426,
100225,,"G100225","2009-2","TRN (TRANSITIONAL)","A (ACCESSORIES)","ACCENTS","BENCH","Tan","Brown",0,"BOX",1,0,"China","This bench was created to surround you in extra comfort. Its detailed carvings and motifs deliver a class style to any room.",81.4,12.46,"BROWN BENCH",47,23.5,19.5,"BROWN BENCH",50,19.75,28.75,,,,,,,,,,,,,21032192433,
100229,,"G100229","2011-2","TRA (TRADITIONAL)","D (DINING)","COUNTER HEIGHT","BAR STOOL","Medium Brown","Cappuccino",1,"BOX",2,0,"Malaysia","Introducing a fresh dining group to add to our existin Mix and Match series. This group is finished in a rich cappuccino and is constructed of solid hardwoods. The eye catching table top is divided into four sections with our black tempered glass inlays. Matching bar stools provide supreme comfort with padded seat cushions.",33.51,3.29,"Barstool",41.93,18.11,7.48,"BARSTOOL",0,0,24,,,,,,,,,,,,,21032147808,
100241,,"G100241","2005-2","COU (COUNTRY)","D (DINING)","DINETTES","TABLE",,"Natural",1,"BOX",1,0,"Malaysia","All natural finish dining table with terracotta tile top and butterfly leaf. Matching arrow back chair.",,,,,,,"DINING TABLE",57,42,30.5,,,,,,,,,,,,,,
"100241B1",,"G100241","2005-2","COU (COUNTRY)","D (DINING)","DINETTES","TABLE",,"Natural",1,"BOX",1,0,"Malaysia","All natural finish dining table with terracotta tile top and butterfly leaf. Matching arrow back chair.",99.23,7.9,"Table Tile Top",43.31,43.31,7.28,,,,,,,,,,,,,,,,,21032131883,
"100241B2",,"G100241","2005-2","COU (COUNTRY)","D (DINING)","DINETTES","TABLE",,"Natural",1,"BOX",1,0,"Malaysia","All natural finish dining table with terracotta tile top and butterfly leaf. Matching arrow back chair.",16.54,1.52,"Table Pedestal Base",9.84,21.14,12.68,,,,,,,,,,,,,,,,,21032131890,
100268,,"G100268",2008,"TRA (TRADITIONAL)","D (DINING)","COUNTER HEIGHT","BAR TABLE",,"Cherry",1,"BOX",1,0,"China","40"" dia. bar table with turned base and beautifully accented legs. Matching upholstered brown vinyl bar stools that swivel. Made of Solid Hardwood with Cherry Veneer.",,,,,,,"BAR TABLE",40,40,42.25,,,,,,,,,,,,,,
"100268B1",,"G100268",2008,"TRA (TRADITIONAL)","D (DINING)","COUNTER HEIGHT","BAR TABLE",,"Cherry",1,"BOX",1,0,"China","40"" dia. bar table with turned base and beautifully accented legs. Matching upholstered brown vinyl bar stools that swivel. Made of Solid Hardwood with Cherry Veneer.",57.2,5.22,"Table Top box 1 of 2",42.5,42.5,5,,,,,,,,,,,,,,,,,21032165253,
"100268B2",,"G100268",2008,"TRA (TRADITIONAL)","D (DINING)","COUNTER HEIGHT","BAR TABLE",,"Cherry",1,"BOX",1,0,"China","40"" dia. bar table with turned base and beautifully accented legs. Matching upholstered brown vinyl bar stools that swivel. Made of Solid Hardwood with Cherry Veneer.",17.16,1.63,"Table Base box 2 of 2",8.75,8.75,37,,,,,,,,,,,,,,,,,21032165260,
