"Itemnumber","Collectionname","Groupnumber","Catintrono","Stylename","Roomname","Groupname","Piecename","Fabriccolor","Finishcolor","Assemblyrequired","Typeofpackaging","Pack","Dropship","Countryoforigin","Catalogdescription","Shippingweight","Cubes","Itemdesc","Cartonlength","Cartonwidth","Cartonheight","Product 1 Desc","Product 1 Length","Product 1 Width","Product 1 Height","Product 2 Desc","Product 2 Length","Product 2 Width","Product 2 Height","Product 3 Desc","Product 3 Length","Product 3 Width","Product 3 Height","Product 4 Desc","Product 4 Length","Product 4 Width","Product 4 Height","UPC",
800200,,"G800200",2013,"CAS (CASUAL)","H (HOME OFFICE)","HOME OFFICE","LAPTOP STAND",,"White",0,"BOX",1,0,"Taiwan","WHITE LAPTOP STAND",16.5,2.4,"LAPTOP STAND",26.75,20.13,7.75,"LAPTOP STAND",19.5,15.75,37.25,,,,,,,,,,,,,21032261634,
800202,,"G800202",2009,"CAS (CASUAL)","H (HOME OFFICE)","HOME OFFICE","OFFICE CHAIR","Black",,0,"BOX",1,0,"China","Office chair with gas lift and padded arms in leather like black vinyl.",44.07,5.65,"BLACK VINYL OFFICE CHAIR",32.75,11.25,26.5,"BLACK VINYL OFFICE CHAIR",30,27,43.5,,,,,,,,,,,,,21032183677,
800203,,"G800231",2006,"CAS (CASUAL)","H (HOME OFFICE)","HOME OFFICE","BOOKCASE",,"Cappuccino",1,"BOX",1,0,"China","Clean lines and functionality describe this home office group. The glass-top desk features a keyboard tray, two locking drawers, four box drawers and two file drawers. Matching bookcase features sliding doors with shelving. Cube bookcase comes as one complete unit as shown. Matching credenza offers two file drawers.",,,,,,,"BOOKCASE",64.25,11.75,72,,,,,,,,,,,,,,
"800203B1",,"G800231",2006,"CAS (CASUAL)","H (HOME OFFICE)","HOME OFFICE","BOOKCASE",,"Cappuccino",1,"BOX",1,0,"China","Clean lines and functionality describe this home office group. The glass-top desk features a keyboard tray, two locking drawers, four box drawers and two file drawers. Matching bookcase features sliding doors with shelving. Cube bookcase comes as one complete unit as shown. Matching credenza offers two file drawers.",82.5,5.02,"Bookcase Cabinet",67.13,14.38,9,,,,,,,,,,,,,,,,,21032136604,
"800203B2",,"G800231",2006,"CAS (CASUAL)","H (HOME OFFICE)","HOME OFFICE","BOOKCASE",,"Cappuccino",1,"BOX",1,0,"China","Clean lines and functionality describe this home office group. The glass-top desk features a keyboard tray, two locking drawers, four box drawers and two file drawers. Matching bookcase features sliding doors with shelving. Cube bookcase comes as one complete unit as shown. Matching credenza offers two file drawers.",110,7.35,"Bookcase Cabinet",70.13,18.13,10,,,,,,,,,,,,,,,,,21032136611,
800204,,"G800204",2012,"CAS (CASUAL)","H (HOME OFFICE)","HOME OFFICE","OFFICE CHAIR","Black","Black",0,"BOX",1,0,"China","Casually styled office chair in a black finish with durable leather-like vinyl.",52.8,6,"Office Chair",31.5,13.75,25.5,"OFFICE CHAIR",29.5,24.25,45.5,,,,,,,,,,,,,21032245771,
800205,,"G800205",2012,"CAS (CASUAL)","H (HOME OFFICE)","HOME OFFICE","OFFICE CHAIR","Beige","Silver",0,"BOX",1,0,"China","Office chair upholstered in a beige durable leather-like vinyl with a gas lift and padded arms.",52.8,6.5,"Office Chair",33.5,13.75,25.5,"OFFICE CHAIR",24.75,28.5,48.5,,,,,,,,,,,,,21032245788,
800206,,"G800206",2012,"CAS (CASUAL)","H (HOME OFFICE)","HOME OFFICE","OFFICE CHAIR","Black","Black",0,"BOX",1,0,"China","Mesh styled office chair provides cool comfort with chrome finished base.",44,3.4,"Office Chair",24.75,11,21.5,"OFFICE CHAIR",21.5,22.5,49.25,,,,,,,,,,,,,21032245795,
800207,,"G800207",2012,"CON (CONTEMPORARY)","H (HOME OFFICE)","HOME OFFICE","OFFICE CHAIR",,"Black",0,"BOX",1,0,"China","Contemporary styled office in a chrome and black finish.",35.2,5,"Office Chair",22.75,23.5,31.5,"OFFICE CHAIR",20,24,35,,,,,,,,,,,,,21032245801,
800208,,"G800208",2012,"CAS (CASUAL)","H (HOME OFFICE)","HOME OFFICE","OFFICE CHAIR","Black","Chrome",0,"BOX",1,0,"China","Office chair upholstered in a black durable leather-like vinyl with a gas lift.",48.4,7,"Office Chair",26.5,11,22.5,"OFFICE CHAIR",21.25,25.25,42.5,,,,,,,,,,,,,21032245818,
